id,href,title,img,price,area,location,content,date
23639205,/ban-can-ho-chung-cu-duong-phan-van-hon-phuong-tan-thoi-nhat-1-prj-prosper-plaza/nhan-ky-gui-mua-ban-c-thue-va-spuse-lh-0909463115-pr23639205,Bán căn hộ Prosper Plaza. LH: 0906221386,https://file4.batdongsan.com.vn/crop/350x232/2019/11/27/20191127145010-9fe9_wm.jpg,,65 m²,"Quận 12, Hồ Chí Minh","
                        Nhận mua bán ký gửi căn hộ - shophouse Prosper Plaza - thủ tục hồ sơ chuyển nhượng nhanh chóng, mau lẹ. Địa chỉ liên hệ: Phương Nam Land & Coffee - CS1, CC Prosper Plaza.
 
 - Chung cư thương mại Pro
                    ",11/21/2020 09:59:36
27396267,/ban-can-ho-chung-cu-duong-nguyen-huu-canh-phuong-22-prj-saigon-pearl/chuyen-ban-du-loai-dien-tich-2pn-gia-tu-4-3-ty-3p-gia-tu-6-ty-4pn-gia-tu-9-ty-pr27396267,"Chuyên bán căn hộ Saigon Pearl giá tốt nhất: 2PN giá từ 4,4 tỷ - 3PN giá từ 6 tỷ - 4PN giá từ 9 tỷ",https://file4.batdongsan.com.vn/crop/350x232/2020/11/21/20201121092911-ddc9_wm.jpg,,90 m²,"Bình Thạnh, Hồ Chí Minh","
                        Phòng kinh doanh chuyên bán căn hộ Saigon Pearl: 2PN - 3PN - 4PN - Penthouse - Duplex giá tốt nhất thị trường.
 - Xem nhà 24/7 hotline: 0909058238 Mr Dương.
 - Giúp anh/chị thương giá lượng trực tiếp
                    ",11/21/2020 09:28:05
27877099,/ban-nha-biet-thu-lien-ke-duong-ham-nghi-thi-tran-cau-dien-prj-vinhomes-gardenia/ban-pho-dep-re-t-du-an-lh-0918331236-pr27877099,"Bán nhà phố, liền kề , biệt thự  đẹp , rẻ nhất dự án vinhomes gardenia. Lh: 0918331236",https://file4.batdongsan.com.vn/crop/350x232/2020/11/21/20201121091424-aee6_wm.jpg,,93 m²,"Nam Từ Liêm, Hà Nội","
                        Biệt thự, liền kề, nhà phố Vinhomes Gardenia cập nhật đến ngày 20/11/2020.
 
 * Shophouse vừa ở, vừa kinh doanh, cho thuê:
 
 - Căn shophouse dãy B6 diện tích đất 93m2, mặt tiền 6m, xây 5 tầng, đã ho
                    ",11/21/2020 09:26:37
27876435,/ban-dat-duong-nguyen-trung-truc-xa-bai-thom/-mat-tien-ngang-62m-o-truc-pr27876435,ĐẤT MẶT TIỀN NGANG 62M Ở NGUYỄN TRUNG TRỰC,https://file4.batdongsan.com.vn/crop/350x232/2020/11/21/20201121084146-7a02_wm.jpg,,24138 m²,"Phú Quốc, Kiên Giang","
                        Cần bán Đất mặt tiền NGUYỄN TRUNG TRỰC Vị trí: Ấp Xóm Mới, Bãi Thơm, Phú Quốc Mặt tiền ngang 62,54m đường Nguyễn Trung Trực Diện tích 24137,6m Quy hoạch ONT  Không dính dự án, bao tranh chấp- Chủ có nhu cầu bán gấp nên ra giá rất rẻ - Không tiếp báo và môi giới nhé xin lỗi nhiều 
                    ",11/21/2020 09:15:59
27876525,/ban-nha-biet-thu-lien-ke-phuong-van-phuc-1-prj-him-lam-van-phuc/mua-truc-tiep-pkd-land-ck-den-6-tang-1-cay-g-pkd-096-337-3317-pr27876525,"MUA HIM LAM VẠN PHÚC TRỰC TIẾP PKD HIM LAM LAND + CK ĐẾN 6%, TẶNG 1 CÂY VÀNG, PKD 096.337.3317",https://file4.batdongsan.com.vn/crop/350x232/2020/11/21/20201121085554-600d_wm.jpg,,97 m²,"Hà Đông, Hà Nội","
                        PKD: 096.337.3***.
 Mail: sang.phan@himlamland.com
 - Thông tin chi tiết dự án:
 + Phát triển dự án: Công ty Cổ phần kinh doanh địa ốc Him Lam.
 + Quy mô: 7,1 ha và mật độ xây dựng chỉ 35%.
 + Bao gồ
                    ",11/21/2020 09:00:45
27730483,/ban-can-ho-chung-cu-duong-nguyen-xien-phuong-long-thanh-my-prj-vinhomes-grand-park-quan-9/ban-re-nhat-1pn-1-2-ty-2pn-1-65-ty-3pn-gia-2-50-ty-0977771919-pr27730483,"BÁN VINHOMES GRAND PARK, RẺ NHẤT, 1PN 1,2 TỶ, 2PN 1,65 TỶ, 3PN, GIÁ 2.50 TỶ, 0977771919",https://file4.batdongsan.com.vn/crop/350x232/2020/11/10/20201110084526-1f10_wm.jpg,,Không xác định,"Quận 9, Hồ Chí Minh","
                        Hơn 800 CH và 30 căn shophouse bán và cho thuê đáp ứng mọi nhu cầu về an cư và kinh doanh của khách hàng bán toà S6 và S10 giá gốc chủ đầu tư.
 Studio (diện tích 30 - 35m2) giá gốc 900 triệu - 1.3 tỷ
                    ",11/21/2020 04:44:53
21875557,/ban-nha-rieng-duong-tan-mai-phuong-tan-mai-2/cong-ty-xd-new-house-mo-ban-cac-du-an-o-lien-ke-gd-quan-hoang-quan-hai-ba-trung-pr21875557,"Bán nhà số 31.1 Ngõ 139 Tân Mai, kinh doanh , ngõ thông - Hoàng Mai Hà Nội",https://file4.batdongsan.com.vn/crop/350x232/2020/11/20/20201120221134-0603_wm.jpg,,33 m²,"Hoàng Mai, Hà Nội","
                        Bán căn nhà 31.1 ngõ 139 Tân Mai mở rộng.
 Căn hộ đi thêm các ngõ 12 Lương Khánh Thiện, 22 Nguyễn Đức Cảnh.
 Hướng: Đông.
 Nhà  diện tích xây dựng 33 m2 x 5 tầng.
 Ngõ trước nhà 3,1 m, nội thất thực 
                    ",11/20/2020 22:04:28
27367356,/ban-can-ho-chung-cu-duong-vo-chi-cong-phuong-phu-huu-2-prj-safira-khang-dien/ban-ch-dt-50m2-1-1pn-gia-1-8-ty-66m2-2pn-gia-2-2-ty-90m2-3pn-gia-2-8-ty-0966471818-pr27367356,"Cần bán CH Safira DT 50m2/1 + 1PN giá 1,8 tỷ; 66m2/2PN giá 2,2 tỷ; 90m2/3PN giá 2,8 tỷ 0966471818",https://file4.batdongsan.com.vn/crop/350x232/2020/10/10/20201010173835-65f6_wm.jpg,,50 m²,"Quận 9, Hồ Chí Minh","
                        Cần bán căn Safira Khang Điền Quận 9, ngay mặt tiền Võ Chí Công: + Căn diện tích 50m2: 1 + 1PN/1WC giá chỉ 1.8 tỷ. + Căn Diện tích 67m2/2PN/2WC giá chỉ từ 2.2 tỷ. + Căn 90m2 Diện tích 90m2/3PN/2WC gi
                    ",11/20/2020 21:38:38
27871948,/ban-dat-ben-cat-bd/can-tien-ban-3-lo-o-tho-cu-duong-lon-dan-cu-dong-canh-cho-khu-cong-nghiep-truong-dh-viet-duc-pr27871948,"CẦN TIỀN BÁN 3 LÔ ĐẤT Ở THỔ CƯ ĐƯỜNG LỚN DÂN CƯ ĐÔNG,CẠNH CHỢ ,KHU CÔNG NGHIỆP,TRƯỜNG ĐH VIỆT-ĐỨC.",https://file4.batdongsan.com.vn/crop/350x232/2020/11/20/20201120162723-bb89_wm.jpg,,108 m²,"Bến Cát, Bình Dương","
                        Chính chủ cần bán gấp 3 lô đất ở thông tin như sau:
 
  1.Lô 108m2(6x18):Thích hợp mua để về xây nhà ở ổn định cho anh chị chưa có nhà!
 
 -Thổ cư 100%,nằm trong khu dân cư sinh sống ổn định.
 -Đường
                    ",11/20/2020 19:50:37
26478212,/ban-nha-rieng-duong-dt-743-phuong-an-phu-2/-4m-x-16m-tho-cu-60m2-ngay-binh-chuan-63-nhua-2-lan-xe-o-to-so-hong-chinh-chu-pr26478212,"Chính chủ bán nhà sổ đỏ ngay chợ Phú Phong 4m x 15m, cam kết giá thật 100%, bao sang tên công chứng",https://file4.batdongsan.com.vn/crop/350x232/2020/11/21/2x63pygQ/20201121125540-d635_wm.jpg,,60 m²,"Thuận An, Bình Dương","
                        Chính chủ thu hồi vốn gấp cần xả nhanh nhà một trệt 1 lầu sổ hồng riêng ngay chợ Phú Phong, An Phú, Thuận An, Bình Dương giá rẻ, cam kết giá thật 100% chính chủ giá tốt nhất khu vực hiện tại.Diện tíc
                    ",11/20/2020 19:34:16
